company,added_date,description,website,headcount,employees,country,region,city,url_slug,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,investment_count,company_address,growth_3mo_headcount,growth_6mo_headcount,growth_1yr_headcount,growth_2yr_headcount,growth_3yr_headcount,growth_4yr_headcount,growth_5yr_headcount,growth_3mo_web_traffic,growth_extra_1,growth_extra_2,source_page,source_row
Lucidchart,"Jul 28, 2025 12.57 PM",Lucid Software Inc. is that offers web-based diagramming_ software company,lucidchart.com,"1,001-5,000","1,229",United States,(USA),Utah,South Jordan,Venture Capital,2010,228,,"Feb 28, 2021",Series,nla,nla,500 Global,228,"Feb 28, 2021",~21%,,,,,,,,,,2,29
ane(ttz)ee#XTir4&,"Jul 28, 2025 12.57 PM",YMNE (1t3) {8R2XTIRA] technology company specializing digital__.,techbloom.net,51-200,,China,Beijing,Beijing,%e5%8c997%e4_,Venture Capital,2011,,,Jan 2023,Series,Susquehanna Asia Venture,nla,A-capital com cn,,"1t5m 100176, CN",5%,46%,35%,72%,,,,,,,2,30
Apicbase,"Jul 28, 2025 12.57 PM",comprehensive F&B management platform __ software company that provides,apicbase.com,51-200,,Belgium,Flanders,Antwerp,apicbase,Venture Capital,2017,8.5,,"May 18, 2021",Series,Ark Angels Activator Fund,nla,Newion,,"Samberstraat 3; Antwerp, Flemish Region 2060, BE",-4%,~9%,9%,-16%,-16 %,~27%,17%,51%,,,2,31
Epic Gardening,"Jul 28, 2025 12.57 PM",Epic Gardening is a gardening supply retailer that offers wide range of products includin__.,epicgardening.com,51-200,,United States,(USA),Colorado,Broomfield,Venture Capital,2013,17.5,17.5,"Dec 20, 2021",Series,Tcg,Corporate,Tcg,,"660 Compton St; Broomfield, Colorado 80020, US",7%,4%,24%,94%,323%,340%,500%,-10%,,,2,32
Earri#WEE TRA,"Jul 28, 2025 12.57 PM","Shanghai Fineex Supply Chain Management Co , Ltd_ logistics company that__.",fineex.com,"501-1,000",,China,Shanghai,Shanghai,le4%b8%8a%e6_,Venture Capital,2006,160.8,,"Jun 15, 2023",Series,nla,nla,P#LERECi?,,"2Wb218588535*71+3217-32272; EXem, ENm",1%,-9%,~34%,30%,,,,,,,2,34
Distru,"Jul 28, 2025 12.57 PM",Distru is : cannabis ERP solutions: It offers a_ software company specializing in,distru.com,11-50,,United States,(USA),California,Oakland,Venture Capital,2016,,,"Nov 19, 2024",Series,Global Founders Capital AF,nla,Poseidon Investma,,"330 Znd St:; Oakland, CA 94607, US",13%,25%,40%,59%,96%,180%,-28%,,,,2,35
Threecolts,"Jul 28, 2025 12.57 PM",ecommerce solutions for retail vendors an__. software company specializing,threecolts.com,"501-1,000",303,United Kingdom,(UK),England,London,Venture Capital,2021,90.7,90.7,Mar 2023,Series,coventure.Vc,Corporate,Stratos Technolog,,"London, GB",10%,33%,124%,248%,657%,000%,431%,,,,2,36
"Logile, Inc.","Jul 28, 2025 12.57 PM",Logile is offers software solutions for labor_. retail technology provider that,logile.com,201-500,212,United States,(USA),Texas,Southlake,Private Equity,2005,32,2600,"Jan 30, 2023",Series,Sixth Street,nla,Sixth Street,32,"Southlake Blvd ; Suite 120; Southlake, TX 76052, US",1%,~2%,2%,~6%,6%,3%,28%,55%,-28%,,2,37
Hivery,"Jul 28, 2025 12.57 PM",HIVERY is a retail technology company specializing in Al-driven solutions for_.,hivery.com,51-200,,Australia,New South Wales,Surry Hills,hivery,Private Equity,2015,43.4,29.2,"Jul 13, 2022",Series,ASI Growth Partners,nla,The Coca-Cola Cc,,"Surry Hills, New South Wales 2010, AU",~66%,90%,98 %,~97%,89%,,,,,,2,38
ClimateAi,"Jul 28, 2025 12.57 PM",that offers advanced Al-driven solutions for__. ClimateAi is - climate intelligence provider,climate.ai,51-200,,United States,(USA),California,San Francisco,Venture Capital,2017,38.2,,"Apr 12, 2023",Series,academyinvestorcom,Venture Capital,FootPrint Coalition,,"353 Sacramento St; San Francisco, California 94111, US",6%,~31%,~33%,-15%,37%,218 %,69%,,,,2,39
Onfleet,"Jul 28, 2025 12.57 PM",specializing in last mile delivery solutions T_ Onfleet is a logistics software provider,onfleet.com,51-200,,United States,(USA),California,San Francisco,Private Equity,2015,41.9,,,Series,Almanac,nla,Sgh,,"717 California St; San Francisco, California 94108, US",5%,2%,7%,-12%,~25%,6%,137%,-23%,,,2,40
Inspectorio,"Jul 28, 2025 12.57 PM",specializing in supply chain management__. technology solutions provider,inspectorio.com,201-500,237,United States,(USA),Minnesota,Minneapolis,Private Equity,2015,65.8,32,"Jan 30, 2022",Series,bossa invest,nla,bossa invest,225,"6th St ; Suite 3900; Minneapolis, Minnesota MN 55402,",1%,0%,2%,9%,3%,44%,75%,30%,,,2,41
Easyship,"Jul 28, 2025 12.57 PM",offers eCommerce businesses tools to Easyship is shipping software provider that,easyship.com,51-200,163,United States,(USA),New York,New York,Venture Capital,2015,,,"Nov 28, 2018",Series,500 Global,nla,500 Global,,"61 Broadway; Suite 1705; New York; New York 10006, US",~2%,2%,-7%,-17%,7%,48%,96%,,,,2,42
SpaceFill,"Jul 28, 2025 12.57 PM",Spacefill is a logistics technology provider that offers 3PL management platform__,spacefill.fr,51-200,,nia,France,ile-De-France,Paris,Private Equity,2018,23.2,,"Mar 15, 2022",Series,Bonsai Partners,nla,NGP Capital,,"Mar 15, 2022",~4%,,,,,,,,,,2,43
Deskera,"Jul 28, 2025 12.57 PM",Deskera is = offers integrated solutions for accounting;_ business software provider that,deskera.com,51-200,125,United States,(USA),Minnesota,Minneapolis,Venture Capital,2008,182.8,,"Jul 15, 2024",Series,Jungle Ventures,nla,InnoVen Capital In,,"729 N Washington Ave; 6th Floor; Minneapolis, MN 55401, US",~6%,-14%,-23%,-29%,30%,~25%,~54%,5%,,,2,44
Vertuoza,"Jul 28, 2025 12.57 PM",software provider that offers construction management comprehensi_.,vertuoza.com,51-200,107,Belgium,Wallonia,Nivelles,Veirtuoza,Venture Capital,2020,11.9,10.5,"Oct 12, 2023",Series,Fortino Capital,nla,XAnge,,"16 Rue Louis Braille; Nivelles, 1400, BE",2%,11%,33%,48%,189%,723%,250%,-13%,,,2,45
Crisp,"Jul 28, 2025 12.57 PM",provides data analytics company that collaborative commerce platform__,gocrisp.com,201-500,260,United States,(USA),Arkansas,Bentonville,Venture Capital,2016,128,,"Sep 24, 2024",Series,Cox Enterprises,Corporate,Evolution Venture:,128,"Bentonville, AR 72764, US",31%,39%,53%,120%,154%,312%,504%,21%,,,2,46
Emitwise,"Jul 28, 2025 12.57 PM",that provides solutions for businesses to tra_. carbon management company,emitwise.com,51-200,,United Kingdom,(UK),England,London,Venture Capital,2019,,,"Mar 30, 2022",Series,ArcTern Ventures,nla,Saltwater,,"Mar 30, 2022",,,,,,,,,,,2,48
ABM Cloud,"Jul 28, 2025 12.57 PM",provides cloud based solutions for business_ ABM Cloud is = technology company that,abmcloud.com,51-200,150,Estonia,Harju,Tallinn,%e2%80%93 -_,Venture Capital,2014,,,"Dec 20, 2020",Series,nla,nla,nla,,"Tartu highway; 2; Tallinn, EE",~1%,4%,10%,8%,9%,,,,,,2,50
Alvys,"Jul 28, 2025 12.57 PM",Alvys is a software company that specializes in transportation management solutions. It..,alvys.com,51-200,134,United States,(USA),California,Solana Beach,Venture Capital,2020,26.8,20.5,"Jul 14, 2024",Series,Bonfire Ventures,nla,Picus Capital,,"Solana Beach; CA 92075, US",-10%,~6%,6%,17%,67%,103%,575%,~20%,,,2,52
Omnea,"Jul 28, 2025 12.57 PM",that offers Omnea is a procurement automation provider suite of software solutions__.,omnea.co,51-200,,United Kingdom,(UK),England,London,Venture Capital,2022,20,,"Oct 13, 2024",Series,Accel,nla,Point Nine,20,"London, GB",48%,71%,154%,456%,800%,13%,,,,,2,53
Pricemoov,"Jul 28, 2025 12.57 PM",offers solutions for price management __ Pricemoov is pricing software provider that,pricemoov.com,51-200,,France,ile-De-France,Paris,plicemoov,Venture Capital,2016,,,"Apr 11, 2023",Series,Bpifrance,nla,Kima Ventures,,"37 Avenue Trudaine; Paris, France 75009, FR",~6%,-21%,~48%,~69%,~72%,~46%,~34%,23%,,,2,54
melonn,"Jul 28, 2025 12.57 PM",Melonn is = fulfillment services for logistics company specializing in ~commerce and:_,melonn.com,51-200,247,Colombia,Antioquia,Puerto Nare,melonn,Venture Capital,2020,24.5,22,Feb 2022,Series,Global Founders Capital AF,nla,Wollef,22,"Medellin; Antioquia 050022, CO",~5%,~1%,2%,8%,14%,626%,9%,,,,2,55
Plandek,"Jul 28, 2025 12.57 PM",Plandek is specializes in providing engineering-_. software company that,plandek.com,11-50,,United Kingdom,(UK),England,London,Private Equity,2017,,,"Oct 16, 2022",Series,YFM Equity Partners,nla,Supernode Global,,"SEI OHS, GB",11%,19%,44%,63%,157%,206%,145%,-15%,,,2,56
Wakeo,"Jul 28, 2025 12.57 PM",specializing in supply chain visibility solutio_. logistics technology provider,wakeo.co,51-200,,France,ile-De-France,Paris,wakeo,Venture Capital,2016,32.7,19.5,Dec 2023,Series,360 Capital,nla,50 Partners,,"Rue Auber; Paris, ile-de-France 75009,FR",~4%,4%,9%,25%,51%,195%,300%,,,,2,57
CnM#aNRTJIRA,"Jul 28, 2025 12.57 PM","Co , Ltd_ Guangzhou Kuaipi Information Technology software company specializing",kuaipi.com,51-200,,China,Guangdong,Guangzhou,%es%bg%bf%e5_,Private Equity,2015,,,"Aug 31, 2015",Series,China Soft Capital,nla,Unity Ventures Jl;,,Unity Ventures Jl;,~6%,6%,-11%,~46%,~34%,,,,,,2,59
Food Market Hub,"Jul 28, 2025 12.57 PM",Food Market Hub is provides procurement and inventory_. software company that,foodmarkethub.com,51-200,,Malaysia,Kuala Lumpur,Petaling Jaya,fcodmarkethub,Venture Capital,2017,12.9,8.5,Dec 2021,Series,500 Global,nla,Velocity Ventures,,"100-2.0118013, 129 Offices (Block J), Jaya One, Jalan Prof",-7%,-18 %,~15%,-15%,~27%,~33%,32%,416 %,,,2,60
One Data,"Jul 28, 2025 12.57 PM","provider that specializes in building,_ data management solutions",onedata.ai,201-500,200,Germany,Bavaria,Munich,e-data-it,Venture Capital,2013,44.9,34.9,"Jul 15, 2024",Series,HV Capital,nla,SALVIA GmbH,26,"PrinzregentenstraBe 50; Munich; Bavaria 80538, DE",~1%,~2%,2%,-10%,~21%,4%,,,,,2,61
Pepper,"Jul 28, 2025 12.57 PM",Pepper i provides Pepper is = provides eCommerce solutions for food__ eCommerce technology company that solutions for food . usepepper com,usepepper.com,11-50,168,United States,(USA),New York,New York,Venture Capital,2019,46,,,Series,Greylock,nla,bossa invest,46,New York City; New York; US,1%,5%,60%,216%,216 %,309%,950%,888%,47%,,2,62
Kardinal,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM that specializes Kardinal is a logistics optimization company that specializes in Al-driven solutions for_. Al-driven solutions for__.",kardinal.ai,11-50,,France,ile-De-France,Paris,kiirdinalai,Venture Capital,2015,12.6,10.4,,Series,Bgv,nla,Serena,,"Victoire; Paris, Ile-de-France 75009, FR",~1%,32%,7%,3%,14%,128%,128 %,,,,2,63
IndicaOnline POS Software,"Jul 28, 2025 12.57 PM",IndicaOnline specializing cannabis technology solution __ cannabis technology softwar software company company solution _,indicaonline.com,51-200,,United States,(USA),California,Los Angeles,Venture Capital,2011,,,May 2018,Series,nla,nla,nla,,"6464 W Sunset Blvd; Los Angeles, California, US",~6%,6%,7%,-17%,17%,12%,133%,211%,180%,~24%,2,66
Kleene.ai,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM ~solutions provider that offers solutions provider that offers Kleene.ai is ~data management ad Al data management and Al range of__ range of_.. kleene:",kleene.ai,51-200,,(UK),United Kingdom,England,London,Venture Capital,2017,16.1,,Nov = 2021,Series,Episode 1 Ventures,Episode,Ventures,,"32-38 Leman Street, Aldgate East; Aldgate East; London,",~5%,5%,-12%,~14%,-14%,~25%,~46%,-46%,6%,-15%,2,67
FarmERPe,"Jul 28, 2025 12.57 PM",FarmERP ~company that provides innovative farm __ FarmERP is an agriculture technology company that provides innovative farm __ an agriculture technology farmerp com,farmerp.com,51-200,,India,Maharashtra,Pune,farmerp-smart -,Venture Capital,2001,,,"Dec 29, 2019",Series,TechnoGen IT Services Ind,nla,TechnoGen IT Ser,,"Unit No. 17, Znd Floor; Electronic Co-operative Estate Ltd ; Pune",-2%,-18%,-18 %,~15%,-15%,-28%,126%,115%,152%,2%,2,68
Shop Circle,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM Shop Circle is e-commerce software solutions: ecommerce software solutions SaaS company specializing in It offers = offers a .",shopcircle.co,201-500,242,United Kingdom,(UK),England,London,Private Equity,2021,245,60,"Feb 24, 2025",Series,645 Ventures,Corporate,Endeavor,26,"London, GB",4%,6 %,6%,32%,310%,505%,000%,,,,2,69
OptimoRoute,"Jul 28, 2025 12.57 PM",comoanv company that provides solutions for delivery _. that provides solutions for delivery_. Troute optimization software route optimization software,optimoroute.com,51-200,,United States,(USA),California,Palo Alto,Venture Capital,2012,6.5,,Feb 2020,Series,Series A,Congruent Ventures,nla,,"Palo Alto, US",3%,3 %,1%,48%,52%,89%,205%,58 %,58%,,2,70
JST Group,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM Shanghai JUSHUITAN Network Technology CO,LTD. co.LTD. is a SaaS provider specializing in e_ SaaS provider specializing in jushuitan com",jushuitan.com,"1,001-5,000",,China,Shanghai,Shanghai,%e4%b8%8a%e6_.,Private Equity,2014,205.7,100,Jun 2020,Series,Series C,Blue Lake Capital,Corporate,100,"Shenchang Road 990; Shanghai, 200000, CN",18 %,18%,,,,,,,,,2,71
Syrup Tech,"Jul 28, 2025 12.57 PM",specializing in Al-driven inventory_ technology company,syrup.tech,11-50,,United States,(USA),New York,New York,Venture Capital,2020,25.1,17.8,"Nov 30, 2023",Series,1984 Ventures,nla,Harvard Innovatiol,,"52 Mercer Street; New York; NY 10013, US",-2%,~9%,-9%,71%,220%,700%,-53%,,,,2,76
Polestar Analytics,"Jul 28, 2025 12.57 PM",Polestar Solutions specializing in Al and analytics solutions consulting firm tor .,polestarllp.com,"501-1,000",623,United States,(USA),Texas,Dallas,Venture Capital,2012,,,Jan 2022,Series,nla,nla,nla,,"4131 NCX; Suite 900; Dallas, Texas 75204,US",-23%,,,,,,,,,,2,77
IdeaSoft Yazilim,"Jul 28, 2025 12.57 PM",IdeaSoft is an e-commerce solutions provider that offers range cpricec including,ideasoft.com,201-500,245,Turkey,istanbul,Ayazaga,ideasoft-yaz-,Venture Capital,2005,29,,"Apr 30, 2012",Series,inventures,nla,inventures,29,"Cumhuriyet Mah: Libadiye Cad. Cimen Sok No:2; Istanbul,",0%,9%,15%,29%,75%,-32%,,,,,2,81
Unikt larande,"Jul 28, 2025 12.57 PM",Unlkum ' that offers - is an educational technology provider comprehensive platform for .,unikum.net,11-50,,Sweden,Stockholm,Stockholm,uulikum---net-ab,Venture Capital,2005,40,,"Oct 3, 2019",Series,Jce,Corporate,Jce,40,"Hammarby Kaj 14; 4; Stockholm, Stockholms Ian 12030, SE",-2%,29%,37%,,,,,,,,2,82
Dexory,"Jul 28, 2025 12.57 PM",in warehouse automation and analytics. The _ ' technology company specializing,dexory.com,51-200,155,United Kingdom,(UK),England,London,Venture Capital,2015,118,80,"Sep 30, 2024",Series,Atomico,nfa,Latitude Ventures,80,"Portobello; London; W1O 5JJ, GB",4%,41%,31%,162%,550%,,,,,,2,84
Threekit Visual Commerce,"Jul 28, 2025 12.57 PM",specializing in 3D product configuration and_ Threekit is visual commerce company,threekit.com,51-200,,United States,(USA),Illinois,Chicago,Venture Capital,2018,100,,Nov 2021,Series,Isai,nla,ServiceNow,100,"Wacker Dr; Chicago, Illinois 60606,US",2 %,5%,2%,~31%,-17%,16 %,-29%,,,,2,86
Taxdoo,"Jul 28, 2025 12.57 PM",software provider that specializes tay consulting = and accounting VAT _,taxdoo.com,51-200,126,Germany,Hamburg,Hamburg,xdoo,Venture Capital,2016,86,64.6,"Dec 15, 2021",Series,Accel,Corporate,Visionaries Club,86,"Alter Wandrahm 13; Hamburg, HH 20457, DE",4%,-10%,-11%,-16 %,~39%,34%,500%,24%,,,2,90
Jungheinrich company,"Jul 28, 2025 12.57 PM",arculus is a technology company in the development = high-€ end mobile robo specializing,arculus.de,51-200,,Germany,Bavaria,Munich,arculus-gmbh,Venture Capital,2016,17.5,,May 2020,Series,Atomico,nla,Hello Tomorrow,,"BalanstraBe 73; Haus 10; Munich, Bavaria 81549, DE",2%,3%,7%,27%,-71%,,,,,,2,93
Rundoo,"Jul 28, 2025 12.57 PM",Rundoo is point-of-sale solutions tailored for paint and_ software company that provides,getrundoo.com,11-50,,United States,(USA),California,Redwood City,Venture Capital,2021,,,"May 31, 2024",Series,Bessemer Venture Partners,nla,Plug =,,"94063, US",15%,22%,144%,193%,340%,100%,41%,,,,2,94
Voxware,"Jul 28, 2025 12.57 PM",specializing a technology solutions provider voice automation and__,voyiare.com,51-200,,United States,(USA),New Jersey,Hamilton,,1993,7.8,,"Apr 23, 2014",Series,nla,nla,Edison Partners,,"3705 Quakerbridge Road; Suite 210; Hamilton, NJ 08619,US",2%,-24%,-26%,,,,,,,,2,96
Corevist,"Jul 28, 2025 12.57 PM",Corevist; Inc. is a B2B software company that specializes providing integrated.,corevist.com,51-200,,United States,(USA),North Carolina,Raleigh,Other Financial,2008,8.2,,"Apr 20,2022",Series,Halstatt,nla,Jurassic Capital,,7474 Creedmoor Road; #108;,5%,2%,2 %,-10%,-26%,332%,~48%,,,,2,98
Fergus,"Jul 28, 2025 12.57 PM",Fergus is ~provider that offers solutions for trades. job management software,fergus.com,51-200,,New Zealand,Auckland,Auckland,fergus-software -,Venture Capital,2012,17.7,,Jun 2022,Series,Evp,nla,Octopus Ventures,,"65 New North Road, Eden Terrace; Auckland, Auckland 1021, NZ",-8 %,6 %,-12%,10%,30%,23%,,,,,2,101
Parabola,"Jul 28, 2025 12.57 PM",~data automation and process management___ SaaS provider specializing,parabola.io,11-50,,United States,(USA),California,San Francisco,Venture Capital,2017,34.2,,"Jun 27,2023",Series,Abstract,nla,Matrix,,"San Francisco, CA, US",1%,17%,44%,54%,51%,58 %,100%,6 %,,,2,102
Pbal (1tz) @T0ST04&,"Jul 28, 2025 12.57 PM",chain management company that specialize._ PMER (Huimin) logistics and supply,huimin.cn,11-50,139,China,Liaoning,Liaoning,Chaoyang;,Private Equity,2013,516.9,224.9,Sep 2019,Series,China Renaissance #454,Corporate,#eeur6tji',,"QA6A,1L5, CN",75 %,1%,0%,-63%,-66 %,-50%,,,,,2,105
CoLab Software,"Jul 28, 2025 12.57 PM",specializes CAD collaboratior software company that and design__.,colabsoftware.com,51-200,139,FI Canada,Newfoundland,And Labrador,Gaultois,Public,2017,47.5,3.9,"Mar 18,2025",Series,Hebron Project,nla,Insight Partners,,"SN8, CA",8%,16 %,34%,56%,63%,208%,379%,225%,,,2,106
20Cube Logistics,"Jul 28, 2025 12.57 PM",provides comprehensive supply chain. logistics company tha,2ocube.com,"501-1,000",902,Singapore,nla,nla,2ucube-logistics,Private Equity,2011,,,"Feb 28, 2019",Series,sentorinvestments comau,nla,credence-investm,,"Singapore, 068809_",2 %,11%,15%,32%,61%,100%,116 %,~25%,,,2,107
Foyr,"Jul 28, 2025 12.57 PM",Foyr i that provides innovative tools for interior __. an interior design software company,foyr.com,51-200,169,United States,(USA),New York,New York,Venture Capital,2015,9.7,,"Jul 16, 2018",Series,jllcom,nla,Astarc Ventures,,"37-05 74th Ave; 3rd Floor Jackson Heights,; New York; NY, US",~2%,4%,5%,8 %,-4%,-3%,-12%,0%,,,2,110
Whimsical,"Jul 28, 2025 12.57 PM","Whimsical is provides digital tools for product teams, software company that",whimsical.com,11-50,,United States,(USA),Colorado,Denver,Venture Capital,2017,30,,"Oct 31, 2021",Series,Accel,Corporate,Accel,30,"Denver; Colorado, US",~4%,2%,2 %,-2%,~25%,17%,122%,344%,-19%,,2,111
Actio Brasil,"Jul 28, 2025 12.57 PM",Actio Software specializes providing management software company that,actiosoftware.com,51-200,86,Brazil,Minas Gerais,Belo Horizonte,aritiosoftware,Venture Capital,2005,,,"Aug 31, 2022",Series,nla,nla,Falconi,,"Gerais 31110-230, BR",3%,7%,32%,62%,,,,,,,2,113
Industrial Wireless Automation,"Jul 28, 2025 12.57 PM",specializing in industrial automation. They_ Coretigo technology solutions provider,coretigo.com,51-200,,Israel,Center,Netanya,ctretigo,Corporate,2017,66,,"Jun 27,2023",Series,Amazon Industrial Innovatic,nla,Lenovo,66,"Giborey Israel 5; Netanya, 4250405",-18 %,-23%,~36%,~49%,-48%,~31%,,,,,2,114
Impact Analytics,"Jul 28, 2025 12.57 PM",specializing Al-powered solutions for retai_. technology company,impactanalytics.co,"501-1,000",694,United States,(USA),New York,New York,Venture Capital,2015,76.7,65,May 2025,Series,Blue Cloud Ventures,Corporate,Vistara Growth,65,"368, 9th Avenue; 11-103; New York, New York 10001, US",7%,14%,31%,74%,132%,199%,224%,-12%,,,2,117
Quincus,"Jul 28, 2025 12.57 PM",specializes Quincus is logistics technology provider that Al-driven solutions supply__,quincus.com,201-500,,Singapore,nla,nla,lincus,Venture Capital,2014,34,,"Apr 27,2024",Series,nla,nla,alteracapital com,34,"068914, SG",~7%,-16%,-24%,~38%,~50%,-12%,47%,~84%,,,2,118
Petpooja,"Jul 28, 2025 12.57 PM",Prayosha Food Services Private Limited is restaurant technology provider specializing,petpooja.com,,,,,,,Public,2011,8.9,4.5,"Nov 14, 2021",Series,Aroa Venture Partners,nfa,udaan.com,130,"3rd Floor; Gopal Palace; Nehrunagar; Ahmedabad,",11%,20%,34%,77%,160%,395%,596 %,,,,2,119
Pico,"Jul 28, 2025 12.57 PM",Pico MES is a technology solutions company that specializes in digital manufacturing_,picomes.com,11-50,,United States,(USA),California,San Francisco,Venture Capital,2017,16.1,12.3,"Aug 21, 2023",Series,Congruent Ventures,nla,Congruent Venture,,"San Francisco, CA 94116, US",~3%,~31%,-31%,~15%,6 %,28%,77%,433%,134%,,2,122
EASANTJRRA,"Jul 28, 2025 12.57 PM","Mabang Technology Co , Ltd. comoanv specializing in cross ;-border e .. software",mabangerp.com,"501-1,000",,China,Shanghai,Minhang,mabangerp,Venture Capital,2010,77.2,44.2,"May 15, 2022",Series,MNTtz VRMTJRRA ],nla,Srmrt12,,"May 15, 2022",-13%,~7%,-8 %,,,,,,,,2,123
TrusTrace,"Jul 28, 2025 12.57 PM",software provider that specializes supply chain traceability solutio,trustrace.com,51-200,175,Sweden,Stockholm,Stockholm,tr istrace,Private Equity,2016,31.6,23.9,"Jan 17, 2024",Series,Circularity Capital,nla,Industrifonden,,"Central Stockholm; Stockholm, SE",3%,5%,17%,52%,76%,173%,464%,-19%,,,2,126
LogicLadder,"Jul 28, 2025 12.57 PM",LogicLadder E provider that offers solutions for energy_. sustainability software,logicladder.com,51-200,,India,Haryana,Gurugram,logicladder,Venture Capital,2011,2.8,2.5,Jun 2024,Series,Rainmatter by Zerodha,nla,JioGenNext,,"Unitech Cyber Park; Sector 39; Gurugram,",-10%,24%,60%,26 %,32%,,,,,,2,127
Proton.ai,"Jul 28, 2025 12.57 PM",Proton providing Al-powered CRM and sales providing Al-powered CRM and sales: software company that specializes,proton.ai,11-50,,United States,(USA),Massachusetts,Cambridge,Venture Capital,2018,20,20,"Jan 17, 2022",Series,Abstract,nla,bossa,20,"160 Alewife Brook Pkwy; #1147; Cambridge, Massachusetts",6 %,12%,34%,44%,72%,313%,8 %,,,,2,129
Coefficient,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM ~company that provides tools for connecting _. company thaj Coefficient is provides tools for connecting _ data automation software",coefficient.io,51-200,,United States,(USA),California,Palo Alto,Venture Capital,2020,24.7,,Nov 2022,Series,Battery Ventures,Corporate,S28capital com,,"Palo Alto, CA 94301, US",6 %,3%,3 %,17%,60%,214%,407%,725%,-0%,0%,2,130
Zthonline,"Jul 28, 2025 12.57 PM","7thonline, Inc. is a SaaS provider specializing Zthonline, Inc. in demand planning and inventory _. demand planning and SaaS provider inventorv_. 'specializing",zthonline.com,201-500,,United States,(USA),New York,New York,Private Equity,1999,23,,"Sep 30, 2001",Series,Chazen Capital Partners,nla,Stonehenge Capit;,23,"New York, NY 10018, US",8%,4%,~7%,-7%,-10%,-23%,~36%,-36%,~0%,0%,2,131
AfterShip,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM AfterShip is AfterShip E eCommerce solutions, offering software for_ eCommerce solutions, offering software for__. SaaS company specializing in",aftership.com,201-500,341,Singapore,nla,nfa,nla,Private Equity,2012,69,39,"Apr 21, 2021",Series,Tiger Global,nfa,nla,39,"Singapore, SG",3%,2%,2 %,23%,91%,251%,520%,,,,2,132
InstaFreight,"Jul 28, 2025 12.57 PM",InstaTechnologies GmbH is a logistics InstaTechnologies CmbH is technology provider that offers logistics digital_.,instafreight.de,,,,,,,Other Financial,2016,75.2,20,Mar 2022,Series,European Investment Bank,nla,European Investm,20,"OranienstraBe 25; Berlin, 10999, DE",-35%,35%,-58%,-68%,-59%,-38%,,,,,2,133
Remarcable,"Jul 28, 2025 12.57 PM",JJul 28 2025 12.57 PM that offers services in procurement; tool__. that offers services business solutions provider procurement; tool_.,remarcable.com,51-200,,United States,(USA),Ohio,Cleveland,Private Equity,2018,,,Jun: 2025,Series,Insight Partners,nla,Insight Partners,,"Cleveland Area; Cleveland, Ohio, US",26%,51%,82%,194%,562%,550%,,,,,2,134
Tajir,"Jul 28, 2025 12.57 PM",provides an online platform for independent_ provides an online platform for independent_. Tajir is a retail distribution company that tajirapp,tajir.app,11-50,241,Pakistan,Punjab,Lahore,tajir-app,Venture Capital,2018,18.9,23,Jun 2021,Series,aavcf.com,nla,Flexport,23,"Gulberg; Lahore, Punjab 54000,PK",1%,~6%,~6 %,6%,6 %,~2%,2%,47%,346%,506 %,2,135
Aforza,"Jul 28, 2025 12.57 PM",~solutions for the consumer products industr _. solutions for the consumer products industr _. Aforza is software company specializing in,aforza.com,51-200,70,(UK),United Kingdom,England,London,Venture Capital,2019,22,,"Aug 11, 2021",Series,Bonfire Ventures,nla,DN Capital,22,"London, SET 7LY, GB",1%,11%,4%,55%,204%,40%,,,,,2,137
WSWX#RITTRA,"Jul 28, 2025 12.57 PM",Hoteam Software specializing in software solutions for produc__ C _ ETae technology company Fe,hoteamsoft.com,"501-1,000",,China,Shandong,~Jinan,%es%blbl%ea__,Venture Capital,1993,106.6,13.9,"Jun 19, 2023",Series,China Internet Investment F,nla,Harvest Capital,,"Jun 19, 2023",48%,4%,84%,-33%,-19%,,,,,,2,138
plancraft,"Jul 28, 2025 12.57 PM",cloud-based solutions for tradespeople and_. Plancraft is software company that provides,plancraft.de,51-200,104,Germany,Hamburg,Hamburg,plancraft-software,Venture Capital,2020,15.1,,Jun 2024,Series,BitStone Capital,nla,xdeck,,"Flora-Neumann-StraBe 6; Hamburg; 20357, DE",18 %,42%,141%,235%,642%,055%,-94%,,,,2,175
Rebuy Engine,"Jul 28, 2025 12.57 PM",Rebuy specializing white-collar service company ecommerce personalization __.,rebuyengine.com,51-200,122,United States,(USA),New York,New York,Venture Capital,2017,21.4,,"Feb 23,2023",Series,Dynamism Capital,nla,Apple Core Holdin,,"Distributed, US",0%,1%,2%,16%,134%,120%,000%,-13%,,,2,178
LBB,"Jul 28, 2025 12.57 PM",LBB is a technology company that specializes in mobile ordering solutions for the food__,ibb.co,201-500,,nla,~Japan,Osaka,Osaka,Venture Capital,2018,2.3,,Feb 2022,Series,nla,nla,() Z7ls,,,,,,,,,,,,,2,180
